"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D6,D2";"D_SOD-123F";2;"DIODE";;;
2;"U4,U3,U2";"SO-8_3.9x4.9mm_P1.27mm";3;"LM358";;;
3;"J5,J4,J3,J2,J1";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical";5;"Conn_01x02";;;
4;"R16,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"22k";;;
5;"U1,U5";"TO-263-5_TabPin3";2;"XL4005E1";;;
6;"R29,R14";"R_4020_10251Metric_Pad1.65x5.30mm_HandSolder";2;"0.05";;;
7;"H5,H4,H3,H2,H1";"MountingHole_3.2mm_M3_DIN965_Pad";5;"MountingHole_Pad";;;
8;"R31,R30,R15,R28";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"1.2k";;;
9;"R27,R11";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"470";;;
10;"R26,R13";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10k";;;
11;"R25,R12";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"22k";;;
12;"R24,R10";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"56k";;;
13;"R20,R19,R18,R17,R6,R5,R4,R3";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";8;"100k";;;
14;"C7,C4";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";2;"100n";;;
15;"C5,C3";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";2;"1u";;;
16;"L2,L1";"L_Axial_L26.7mm_D12.1mm_P35.00mm_Horizontal_Vishay_IHA-103";2;"L";;;
17;"C1,C2,C6";"CP_Elec_10x10";3;"470u";;;
18;"D1,D7,D9";"LED_D3.0mm";3;"Green LED";;;
19;"D3,D8";"D_SMC_Handsoldering";2;"SK86";;;
20;"D4,D5";"LED_D3.0mm";2;"Red LED";;;
21;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1.5k";;;
22;"R7,R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10k";;;
23;"RV1,RV3";"Potentiometer_Bourns_3296W_Vertical";2;"5k";;;
24;"RV2,RV4";"Potentiometer_Bourns_3296W_Vertical";2;"10k";;;
